0.00 , 5.00
0.01 , 4.99
0.02 , 4.98
0.03 , 4.96
0.04 , 4.94
0.05 , 4.92
0.06 , 4.89
0.07 , 4.86
0.08 , 4.82
0.09 , 4.78
0.10 , 4.74
0.11 , 4.69
0.12 , 4.64
0.13 , 4.59
0.14 , 4.53
0.15 , 4.47
0.16 , 4.40
0.17 , 4.33
0.18 , 4.26
0.19 , 4.18
0.20 , 4.10
0.21 , 4.02
0.22 , 3.94
0.23 , 3.85
0.24 , 3.76
0.25 , 3.66
0.26 , 3.56
0.27 , 3.46
0.28 , 3.36
0.29 , 3.25
0.30 , 3.14
0.31 , 3.03
0.32 , 2.92
0.33 , 2.80
0.34 , 2.68
0.35 , 2.56
0.36 , 2.44
0.37 , 2.32
0.38 , 2.19
0.39 , 2.06
0.40 , 1.93
0.41 , 1.80
0.42 , 1.67
0.43 , 1.54
0.44 , 1.40
0.45 , 1.26
0.46 , 1.13
0.47 , 0.99
0.48 , 0.85
0.49 , 0.71
0.50 , 0.57
0.51 , 0.43
0.52 , 0.29
0.53 , 0.15
0.54 , 0.00
0.55 , -0.14
0.56 , -0.28
0.57 , -0.42
0.58 , -0.56
0.59 , -0.70
0.60 , -0.84
0.61 , -0.98
0.62 , -1.12
0.63 , -1.25
0.64 , -1.39
0.65 , -1.53
0.66 , -1.66
0.67 , -1.79
0.68 , -1.92
0.69 , -2.05
0.70 , -2.18
0.71 , -2.31
0.72 , -2.43
0.73 , -2.56
0.74 , -2.68
0.75 , -2.79
0.76 , -2.91
0.77 , -3.02
0.78 , -3.14
0.79 , -3.24
0.80 , -3.35
0.81 , -3.45
0.82 , -3.56
0.83 , -3.65
0.84 , -3.75
0.85 , -3.84
0.86 , -3.93
0.87 , -4.02
0.88 , -4.10
0.89 , -4.18
0.90 , -4.25
0.91 , -4.33
0.92 , -4.40
0.93 , -4.46
0.94 , -4.52
0.95 , -4.58
0.96 , -4.64
0.97 , -4.69
0.98 , -4.74
0.99 , -4.78
1.00 , -4.82
1.01 , -4.85
1.02 , -4.89
1.03 , -4.91
1.04 , -4.94
1.05 , -4.96
1.06 , -4.98
1.07 , -4.99
1.08 , -5.00
1.09 , -5.00
1.10 , -5.00
1.11 , -5.00
1.12 , -4.99
1.13 , -4.98
1.14 , -4.96
1.15 , -4.94
1.16 , -4.92
1.17 , -4.89
1.18 , -4.86
1.19 , -4.82
1.20 , -4.78
1.21 , -4.74
1.22 , -4.69
1.23 , -4.64
1.24 , -4.59
1.25 , -4.53
1.26 , -4.47
1.27 , -4.40
1.28 , -4.34
1.29 , -4.26
1.30 , -4.19
1.31 , -4.11
1.32 , -4.03
1.33 , -3.94
1.34 , -3.85
1.35 , -3.76
1.36 , -3.67
1.37 , -3.57
1.38 , -3.47
1.39 , -3.37
1.40 , -3.26
1.41 , -3.15
1.42 , -3.04
1.43 , -2.93
1.44 , -2.81
1.45 , -2.69
1.46 , -2.57
1.47 , -2.45
1.48 , -2.33
1.49 , -2.20
1.50 , -2.07
1.51 , -1.94
1.52 , -1.81
1.53 , -1.68
1.54 , -1.54
1.55 , -1.41
1.56 , -1.27
1.57 , -1.14
1.58 , -1.00
1.59 , -0.86
1.60 , -0.72
1.61 , -0.58
1.62 , -0.44
1.63 , -0.30
1.64 , -0.16
1.65 , -0.01
1.66 , 0.13
1.67 , 0.27
1.68 , 0.41
1.69 , 0.55
1.70 , 0.69
1.71 , 0.83
1.72 , 0.97
1.73 , 1.11
1.74 , 1.25
1.75 , 1.38
1.76 , 1.52
1.77 , 1.65
1.78 , 1.78
1.79 , 1.92
1.80 , 2.05
1.81 , 2.17
1.82 , 2.30
1.83 , 2.42
1.84 , 2.55
1.85 , 2.67
1.86 , 2.79
1.87 , 2.90
1.88 , 3.02
1.89 , 3.13
1.90 , 3.24
1.91 , 3.34
1.92 , 3.45
1.93 , 3.55
1.94 , 3.65
1.95 , 3.74
1.96 , 3.83
1.97 , 3.92
1.98 , 4.01
1.99 , 4.09
2.00 , 4.17
2.01 , 4.25
2.02 , 4.32
2.03 , 4.39
2.04 , 4.46
2.05 , 4.52
2.06 , 4.58
2.07 , 4.63
2.08 , 4.68
2.09 , 4.73
2.10 , 4.78
2.11 , 4.82
2.12 , 4.85
2.13 , 4.88
2.14 , 4.91
2.15 , 4.94
2.16 , 4.96
2.17 , 4.97
2.18 , 4.99
2.19 , 5.00
2.20 , 5.00
2.21 , 5.00
2.22 , 5.00
2.23 , 4.99
2.24 , 4.98
2.25 , 4.96
2.26 , 4.94
2.27 , 4.92
2.28 , 4.89
2.29 , 4.86
2.30 , 4.83
2.31 , 4.79
